Time,PGN,SPN,Value
1385746875.170008,EEC1,61444,Engine Speed,0.000
1385746875.180552,EEC1,61444,Engine Speed,0.000
1385746875.190008,EEC1,61444,Engine Speed,0.000
1385746875.199996,EEC1,61444,Engine Speed,0.000
1385746875.210006,EEC1,61444,Engine Speed,0.000
1385746875.220202,EEC1,61444,Engine Speed,0.000
1385746875.230006,EEC1,61444,Engine Speed,0.000
1385746875.239995,EEC1,61444,Engine Speed,0.000
1385746875.250005,EEC1,61444,Engine Speed,0.000
1385746875.261997,EEC1,61444,Engine Speed,0.000
1385746875.270004,EEC1,61444,Engine Speed,0.000
1385746875.280548,EEC1,61444,Engine Speed,0.000
1385746875.290004,EEC1,61444,Engine Speed,0.000
1385746875.302000,EEC1,61444,Engine Speed,0.000
1385746875.310004,EEC1,61444,Engine Speed,0.000
1385746875.319987,EEC1,61444,Engine Speed,0.000
1385746875.330004,EEC1,61444,Engine Speed,0.000
1385746875.339990,EEC1,61444,Engine Speed,0.000
1385746875.350002,EEC1,61444,Engine Speed,0.000
1385746875.359991,EEC1,61444,Engine Speed,0.000
1385746875.370002,EEC1,61444,Engine Speed,0.000
1385746875.380541,EEC1,61444,Engine Speed,0.000
1385746875.390002,EEC1,61444,Engine Speed,0.000
1385746875.399990,EEC1,61444,Engine Speed,0.000
1385746875.410000,EEC1,61444,Engine Speed,0.000
1385746875.419984,EEC1,61444,Engine Speed,0.000
1385746875.430001,EEC1,61444,Engine Speed,0.000
1385746875.439987,EEC1,61444,Engine Speed,0.000
1385746875.450000,EEC1,61444,Engine Speed,0.000
1385746875.459987,EEC1,61444,Engine Speed,0.000
1385746875.469999,EEC1,61444,Engine Speed,0.000
1385746875.479968,EEC1,61444,Engine Speed,0.000
1385746875.489998,EEC1,61444,Engine Speed,0.000
1385746875.499987,EEC1,61444,Engine Speed,0.000
1385746875.509998,EEC1,61444,Engine Speed,0.000
1385746875.519986,EEC1,61444,Engine Speed,0.000
1385746875.529996,EEC1,61444,Engine Speed,0.000
1385746875.540937,EEC1,61444,Engine Speed,0.000
1385746875.549995,EEC1,61444,Engine Speed,0.000
1385746875.559984,EEC1,61444,Engine Speed,0.000
1385746875.569999,EEC1,61444,Engine Speed,0.000
1385746875.580547,EEC1,61444,Engine Speed,0.000
1385746875.589996,EEC1,61444,Engine Speed,0.000
1385746875.599984,EEC1,61444,Engine Speed,0.000
1385746875.609995,EEC1,61444,Engine Speed,0.000
1385746875.619982,EEC1,61444,Engine Speed,0.000
1385746875.629995,EEC1,61444,Engine Speed,0.000
1385746875.639983,EEC1,61444,Engine Speed,0.000
1385746875.649993,EEC1,61444,Engine Speed,0.000
